country,name,alt_name,is_bivouac,evidence,lat,lon,ele_m,capacity,operator,tourism,shelter_type,website,wikidata,image_url,image_source,image_alt,osm_type,osm_id,osm_url
SI,Bivacco Alberto Busettini,Bivacco CAI Tarvisio,True,shelter_type+name,46.439199,13.678754,2149.0,9,CAI Tarvisio,,basic_hut,https://www.cai-fvg.it/sentieri-e-rifugi/rifugi-e-opere-alpine/opere-alpine/503-bivacco-busettini/,,,,,way,36021563,https://www.openstreetmap.org/way/36021563
SI,Bivak I v Veliki Dnini,,True,shelter_type+name,46.438398,13.819282,2140.0,4,PD Jesenice,,basic_hut,,,,,,node,1777867914,https://www.openstreetmap.org/node/1777867914
SI,Bivak II na Jezerih,,True,shelter_type+name,46.433619,13.83856,2118.0,,,,basic_hut,http://www.alpinizem.net/?page_id=437,Q12785938,https://commons.wikimedia.org/wiki/Special:FilePath/Bivak_II_Pod_Rokavi.JPG,wikidata:P18,,way,493049052,https://www.openstreetmap.org/way/493049052
SI,Jamarski bivak,,True,shelter_type+name,46.34989,13.454166,2112.0,,Jamarska zveza Slovenije,,basic_hut,,,,,,node,927280408,https://www.openstreetmap.org/node/927280408
SI,Bivak Pavla Kemperla,Bivak pod Grintovcem,True,wilderness_hut+name,46.353354,14.54729,2102.0,8,Društvo Gorske reševalne službe Kamnik,wilderness_hut,weather_shelter,https://www.pzs.si/koce.php?pid=110,,,,,node,1843185516,https://www.openstreetmap.org/node/1843185516
SI,Bivak pod Skuto na Malih podih,,True,wilderness_hut+name,46.358914,14.567909,2045.0,10,,wilderness_hut,weather_shelter,https://www.pd-ljmatica.si/koce/bivak-pod-skuto/,,,,,node,1843185010,https://www.openstreetmap.org/node/1843185010
SI,Bivak IV. Na rušju,,True,shelter_type+name,46.417503,13.819869,1980.0,,,,basic_hut,,,,,,way,493046348,https://www.openstreetmap.org/way/493046348
SI,Bivak na Kotovem sedlu,,True,shelter_type+name,46.430382,13.687825,1975.0,,,,basic_hut,,,,,,node,1366937100,https://www.openstreetmap.org/node/1366937100
SI,Bivak v Kočni,,True,shelter_type+name,46.350779,14.524449,1952.0,8,,,basic_hut,,,,,,node,1332392711,https://www.openstreetmap.org/node/1332392711
SI,Jamarski bivak na Molički planini,,True,shelter_type+name,46.361108,14.673779,1910.0,,Jamarski klub Speleos - Siga Velenje,,basic_hut,,,,,,way,1275656952,https://www.openstreetmap.org/way/1275656952
SI,Bivak na prevalu Globoko,Bivak Globoko,True,wilderness_hut+name,46.243629,13.802264,1828.0,2,PD Tolmin,wilderness_hut,weather_shelter,,Q105774500,,,,way,382295171,https://www.openstreetmap.org/way/382295171
SI,Bivak na Belščici,,True,wilderness_hut+name,46.444398,14.13463,1750.0,,,wilderness_hut,weather_shelter,,,,,,way,1298496303,https://www.openstreetmap.org/way/1298496303
SI,Bivak v Storžiču,,True,shelter_type+wilderness_hut+name,46.352785,14.400169,1750.0,4,Planinsko društvo Tržič,wilderness_hut,basic_hut,https://www.planinske-koce.si/bivak_pod_storzicem,,,,,way,483491369,https://www.openstreetmap.org/way/483491369
SI,Koča Koren,Pastirska koča na planini Koren,True,shelter_type,46.307185,14.547883,1672.0,,,,basic_hut,,,,,,way,496611412,https://www.openstreetmap.org/way/496611412
SI,Biwakschachtel Annahütte,,True,shelter_type+name,46.512399,13.935925,1580.0,,,,basic_hut,,,https://commons.wikimedia.org/wiki/Special:FilePath/Grenzstein_%C3%96sterreich-Slowenien_am_Annah%C3%BCttensattel_%2820926079762%29.jpg,commons:name-match<300m,https://commons.wikimedia.org/wiki/Special:FilePath/Annah%C3%BCttensattel_%2820747764270%29.jpg,way,229925679,https://www.openstreetmap.org/way/229925679
SI,Bivak pod Muzcem,,True,wilderness_hut+name,46.287371,13.413933,1529.0,,,wilderness_hut,weather_shelter,,Q105757089,https://commons.wikimedia.org/wiki/Special:FilePath/Bivak-pod-muzcem-1550m.jpg,osm:commons,,way,1160921790,https://www.openstreetmap.org/way/1160921790
SI,Bivak pod Luknjo,,True,shelter_type+name,46.391213,13.821806,1494.0,10,,,basic_hut,,Q105758232,,,,way,293179346,https://www.openstreetmap.org/way/293179346
SI,,,True,wilderness_hut,46.242341,13.755917,1490.0,,,wilderness_hut,,,,,,,way,436538916,https://www.openstreetmap.org/way/436538916
SI,Koča na Zadnjem Voglu,,True,wilderness_hut,46.248929,13.825342,1445.0,8,Mladinski odsek PD Jesenic,wilderness_hut,,http://pdjesenice-drustvo.si/sl/nase-koce/zavetisca-in-bivaki/,,,,,way,1151586050,https://www.openstreetmap.org/way/1151586050
SI,Bivak pod Špikom,,True,shelter_type+name,46.457058,13.818338,1424.0,,,,basic_hut,https://pd-gozdmartuljek.si/?Na%C5%A1e_dejavnosti:Bivak_pod_%C5%A0pikom,Q105757676,,,,way,478096432,https://www.openstreetmap.org/way/478096432
SI,Bivak III za Akom,,True,shelter_type+name,46.459119,13.836941,1340.0,,,,basic_hut,,,,,,node,2914618202,https://www.openstreetmap.org/node/2914618202
SI,Koča Vrtača,,True,wilderness_hut,46.429742,14.244562,1288.0,,,wilderness_hut,,,,,,,way,1240260171,https://www.openstreetmap.org/way/1240260171
SI,Bivak na Kalu,,True,shelter_type+name,46.315188,14.73949,1285.0,,,,basic_hut,,,,,,way,1148452122,https://www.openstreetmap.org/way/1148452122
SI,Bivak Hlek,,True,wilderness_hut+name,46.266925,13.515119,1224.0,,,wilderness_hut,,,Q58335846,https://commons.wikimedia.org/wiki/Special:FilePath/Bivak_Hlek.jpg,osm:commons,,way,1285614298,https://www.openstreetmap.org/way/1285614298
SI,Bivak na Črniku nad Drežnico,,True,wilderness_hut+name,46.264741,13.643091,1160.0,,,wilderness_hut,,https://pzs.si/mountain-huts/61/,Q105757636,,,,node,4339683953,https://www.openstreetmap.org/node/4339683953
SI,Bivak Florjana Šona,,True,shelter_type+name,46.192335,15.152836,1090.0,,PD Zabukovica,,basic_hut,,,,,,node,1779387672,https://www.openstreetmap.org/node/1779387672
SI,Planinsko zavetišče Slatna,,True,wilderness_hut,46.487988,13.713946,1023.0,,PD Lisca,wilderness_hut,,,Q105757915,,,,way,1249002221,https://www.openstreetmap.org/way/1249002221
